starty,startx,endy,endx,val
39.1632409,-76.7360648,39.1714516,-76.730673,3.21490478515625
39.1714516,-76.730673,39.165541,-76.7270174,31.662216186523438
39.165541,-76.7270174,39.1648955,-76.7265549,0
39.1648955,-76.7265549,39.1679133,-76.7308238,0
39.1679133,-76.7308238,39.1650728,-76.732552,0
39.1650728,-76.732552,39.1731306,-76.7288884,0
39.1731306,-76.7288884,39.1841012,-76.7184616,105.65571594238281
39.1841012,-76.7184616,39.1843539,-76.718953,0
39.1843539,-76.718953,39.180611,-76.7268504,0
39.180611,-76.7268504,39.1792268,-76.7285377,0
39.1792268,-76.7285377,39.1801547,-76.7266243,0
39.1801547,-76.7266243,39.182128,-76.722543,0
39.182128,-76.722543,39.1841012,-76.7184616,0
39.1841012,-76.7184616,39.1877448,-76.7152179,0
39.1877448,-76.7152179,39.1887564,-76.7143004,0
39.1887564,-76.7143004,39.1897723,-76.713266,0
39.1897723,-76.713266,39.1912946,-76.7117535,0
39.1912946,-76.7117535,39.1938318,-76.7092327,0
39.1938318,-76.7092327,39.1904525,-76.7124859,0
39.1904525,-76.7124859,39.1864829,-76.7162206,0
39.1864829,-76.7162206,39.1841012,-76.7184616,0
39.1841012,-76.7184616,39.1874169,-76.714003,0
39.1874169,-76.714003,39.1937611,-76.7054838,0
39.1937611,-76.7054838,39.2001052,-76.6969646,0
39.2001052,-76.6969646,39.2009523,-76.6967767,3.1560821533203125
39.2009523,-76.6967767,39.202817,-76.6965151,4.6859130859375
39.202817,-76.6965151,39.2011221,-76.696796,0
39.2011221,-76.696796,39.2001052,-76.6969646,0
39.2001052,-76.6969646,39.2049606,-76.6919784,0
39.2049606,-76.6919784,39.20492,-76.6920273,0
39.20492,-76.6920273,39.2048997,-76.6920518,0
39.2048997,-76.6920518,39.2048876,-76.6920665,0
39.2048876,-76.6920665,39.2048671,-76.6920963,0
39.2048671,-76.6920963,39.2048594,-76.6921056,0
39.2048594,-76.6921056,39.2070579,-76.6892547,0
39.2070579,-76.6892547,39.207087,-76.6891928,0
39.207087,-76.6891928,39.2071074,-76.6891473,0
39.2071074,-76.6891473,39.208018,-76.6878547,0
39.208018,-76.6878547,39.2131229,-76.6743788,87.18716430664062
39.2131229,-76.6743788,39.2179511,-76.6709638,0
39.2179511,-76.6709638,39.2169399,-76.6654555,0
39.2169399,-76.6654555,39.2171615,-76.6616758,0
39.2171615,-76.6616758,39.2171662,-76.6616612,17.821823120117188
39.2171662,-76.6616612,39.2171684,-76.6616545,0
39.2171684,-76.6616545,39.2171725,-76.6616496,5.8823089599609375
39.2171725,-76.6616496,39.2171764,-76.6616451,0
39.2171764,-76.6616451,39.217503,-76.6594989,0
39.217503,-76.6594989,39.2175116,-76.6594686,0
39.2175116,-76.6594686,39.2175147,-76.6594569,0
39.2175147,-76.6594569,39.2175161,-76.6594515,9.62677001953125
39.2175161,-76.6594515,39.2175186,-76.6594341,0
39.2175186,-76.6594341,39.2175364,-76.6593865,0
39.2175364,-76.6593865,39.2175185,-76.659288,0
39.2175185,-76.659288,39.2174826,-76.659141,0
39.2174826,-76.659141,39.2174571,-76.659036,0
39.2174571,-76.659036,39.2165465,-76.6574041,0
39.2165465,-76.6574041,39.2165466,-76.657404,0
39.2165466,-76.657404,39.2112834,-76.6508697,0
39.2112834,-76.6508697,39.2080314,-76.6455364,78.07003784179688
39.2080314,-76.6455364,39.2080179,-76.6455401,0
39.2080179,-76.6455401,39.208007,-76.645543,0
39.208007,-76.645543,39.2080046,-76.6455148,0
39.2080046,-76.6455148,39.2077334,-76.6440042,18.624359130859375
39.2077334,-76.6440042,39.2060686,-76.6428325,175.39234924316406
39.2060686,-76.6428325,39.2045003,-76.6420923,6.3530426025390625
39.2045003,-76.6420923,39.2044782,-76.6421077,0
39.2044782,-76.6421077,39.2044666,-76.6420785,0
39.2044666,-76.6420785,39.2006649,-76.6416215,0
39.2006649,-76.6416215,39.2006645,-76.6416223,0
39.2006645,-76.6416223,39.2006642,-76.6416227,0
39.2006642,-76.6416227,39.2006659,-76.641622,206.27015686035156
39.2006659,-76.641622,39.2044369,-76.6422355,252.81521606445312
39.2044369,-76.6422355,39.2006759,-76.6416184,0
39.2006759,-76.6416184,39.2006774,-76.6416218,0
39.2006774,-76.6416218,39.2006795,-76.6416243,0
39.2006795,-76.6416243,39.2006799,-76.6416241,0
39.2006799,-76.6416241,39.2006803,-76.6416239,0
39.2006803,-76.6416239,39.2006806,-76.6416237,0
39.2006806,-76.6416237,39.2006829,-76.6416214,0
39.2006829,-76.6416214,39.2006838,-76.641619,0
39.2006838,-76.641619,39.2006688,-76.641602,0
39.2006688,-76.641602,39.2006673,-76.6415993,0
39.2006673,-76.6415993,39.2006619,-76.6415926,0
39.2006619,-76.6415926,39.2006632,-76.64159,0
39.2006632,-76.64159,39.2006643,-76.6415878,0
39.2006643,-76.6415878,39.2006653,-76.6415858,0
39.2006653,-76.6415858,39.2006662,-76.6415841,0
39.2006662,-76.6415841,39.200667,-76.6415825,0
39.200667,-76.6415825,39.2006625,-76.6415782,0
39.2006625,-76.6415782,39.2006583,-76.6415741,0
39.2006583,-76.6415741,39.2006542,-76.6415701,0
39.2006542,-76.6415701,39.2006502,-76.6415662,0
39.2006502,-76.6415662,39.2006464,-76.6415625,0
39.2006464,-76.6415625,39.2006427,-76.6415589,0
39.2006427,-76.6415589,39.2006391,-76.6415555,0
39.2006391,-76.6415555,39.2006357,-76.6415522,0
39.2006357,-76.6415522,39.2006324,-76.6415489,0
39.2006324,-76.6415489,39.2006291,-76.6415458,0
39.2006291,-76.6415458,39.200626,-76.6415428,0
39.200626,-76.6415428,39.200623,-76.6415399,0
39.200623,-76.6415399,39.2006201,-76.641537,0
39.2006201,-76.641537,39.2006173,-76.6415343,0
39.2006173,-76.6415343,39.2006145,-76.6415316,0
39.2006145,-76.6415316,39.2006118,-76.641529,0
39.2006118,-76.641529,39.2006093,-76.6415265,0
39.2006093,-76.6415265,39.2006067,-76.6415241,0
39.2006067,-76.6415241,39.2006043,-76.6415217,0
39.2006043,-76.6415217,39.2006019,-76.6415194,0
39.2006019,-76.6415194,39.2005996,-76.6415172,0
39.2005996,-76.6415172,39.2005974,-76.641515,0
39.2005974,-76.641515,39.200596,-76.6415138,0
39.200596,-76.6415138,39.2005941,-76.6415112,0
39.2005941,-76.6415112,39.195805,-76.6419542,0
39.195805,-76.6419542,39.195786,-76.6419756,0
39.195786,-76.6419756,39.1939278,-76.6415946,0
39.1939278,-76.6415946,39.1937308,-76.6415683,0
39.1937308,-76.6415683,39.193651,-76.6415486,0
39.193651,-76.6415486,39.1936044,-76.6415289,0
39.1936044,-76.6415289,39.1935624,-76.6415314,2.038116455078125
39.1935624,-76.6415314,39.1921461,-76.6417044,0
39.1921461,-76.6417044,39.1920647,-76.6417079,0
39.1920647,-76.6417079,39.1920096,-76.6417051,0
39.1920096,-76.6417051,39.1917461,-76.6416966,0
39.1917461,-76.6416966,39.1915798,-76.6416938,0.07513427734375
39.1915798,-76.6416938,39.1900064,-76.641711,3.350555419921875
39.1900064,-76.641711,39.1899683,-76.6417,0
39.1899683,-76.6417,39.189897,-76.641683,0
39.189897,-76.641683,39.1882178,-76.6419516,31.58367919921875
39.1882178,-76.6419516,39.1881983,-76.6419563,0
39.1881983,-76.6419563,39.1881738,-76.6419669,0
39.1881738,-76.6419669,39.1881671,-76.6419772,0
39.1881671,-76.6419772,39.1881623,-76.6419828,0
39.1881623,-76.6419828,39.1881431,-76.6420781,0
39.1881431,-76.6420781,39.185299,-76.6404695,250.7493438720703
39.185299,-76.6404695,39.1852564,-76.6403421,16.234771728515625
39.1852564,-76.6403421,39.1852478,-76.6403241,0
39.1852478,-76.6403241,39.1852409,-76.640306,0
39.1852409,-76.640306,39.1852351,-76.6402899,0
39.1852351,-76.6402899,39.1851913,-76.6401567,0
39.1851913,-76.6401567,39.1851664,-76.6400749,0
39.1851664,-76.6400749,39.1851626,-76.6400485,0
39.1851626,-76.6400485,39.1851621,-76.6400473,12.390594482421875
39.1851621,-76.6400473,39.1849852,-76.6384927,0
39.1849852,-76.6384927,39.1850156,-76.6383482,0
39.1850156,-76.6383482,39.1851892,-76.6367952,0
39.1851892,-76.6367952,39.1851846,-76.6367223,42.684783935546875
39.1851846,-76.6367223,39.1851672,-76.6366683,50.55108642578125
39.1851672,-76.6366683,39.1851474,-76.6366165,136.66966247558594
39.1851474,-76.6366165,39.1851408,-76.6343973,68.32380676269531
39.1851408,-76.6343973,39.1851921,-76.6343626,0
39.1851921,-76.6343626,39.1852479,-76.6343248,0
39.1852479,-76.6343248,39.1857667,-76.6311753,429.4890441894531
39.1857667,-76.6311753,39.1857781,-76.6311983,0
39.1857781,-76.6311983,39.185784,-76.6312103,104.39949035644531
39.185784,-76.6312103,39.1847215,-76.6302706,27.978195190429688
39.1847215,-76.6302706,39.1846538,-76.630313,0
39.1846538,-76.630313,39.1831073,-76.6310965,10.666290283203125
39.1831073,-76.6310965,39.1815592,-76.6311341,53.70069885253906
